feature,Botnet,BruteForce,DDoS,DoS,Infiltration,WebAttack
Down/Up Ratio,-0.1532273899175107,0.0122034490737971,0.0534904784091185,0.0148907562969607,-0.0699612846332023,0.6398242949383326
ACK Flag Count,0.0598537875501299,0.7463805948789993,0.0595667335485046,0.0733044009818957,0.000360532189637,0.8096176134682205
Average Packet Size,0.4098817219676975,-0.100709115619099,0.2848079682270057,0.3122984654706534,0.8408270966264529,0.8052259949348876
Fwd Segment Size Avg,-0.0514327590822885,-0.0732143397293473,0.06437655493931,0.0827786115729742,0.8404748244109562,0.8687476516642884
Fwd Bytes/Bulk Avg,6.558511439464825e-06,0.0003186809317755,0.0002459209889259,2.1908979971717507e-05,3.94054115737675e-05,0.0003366844444444
Bwd Segment Size Avg,0.6034686244360916,0.040713972168228,0.4828726623435014,0.3916784144066645,0.8105641685119143,0.8079936015770061
Fwd Packet/Bulk Avg,6.539329828880816e-06,0.0003189841495584,0.0002459119705925,2.2766514053593717e-05,4.0038908250632417e-05,0.0003366844444444
Subflow Fwd Packets,0.0001971666666666,0.0001971666666666,0.0001706249999999,0.0001971666666666,0.0097805311111111,0.0001971666666666
Bwd Bytes/Bulk Avg,0.0066192736111111,0.0064038029365594,0.0070035647173657,0.0368509092688194,0.0065760755200717,0.0040403448861405
Fwd Bulk Rate Avg,6.302075865139052e-06,0.0003181237655656,0.000246868987537,2.506663139815753e-05,4.133483031645452e-05,0.0003366844444444
Bwd Packet/Bulk Avg,0.0066192736111111,0.0063925660230059,0.0060370201308935,0.0339126469456389,0.0065762130965424,0.0042109899833137
Bwd Bulk Rate Avg,0.0066192736111111,0.0064067485688815,0.0078712931530462,0.040451132258662,0.0065767142291236,0.0040318676972909
Subflow Bwd Packets,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Bytes,0.0035036420901781,-0.1006508499838564,0.0567898187844896,0.1310030585253412,0.8322797605086067,0.8886000829331641
Fwd Seg Size Min,0.1964164999999999,0.8369470278969342,0.1917508242730936,0.6335248476854448,0.6443927889006859,0.3444236816666665
FWD Init Win Bytes,0.2242544983333333,0.7625480308436305,0.4244643593235226,0.7416704124897895,0.0003636709223077,0.3607549008333334
Fwd Act Data Pkts,0.0001474928526882,0.8604408489304775,0.0007419566700822,0.0005469536419096,0.4159560941132814,0.7435359015582435
Subflow Bwd Bytes,0.6048507870411554,0.0329050563352808,0.5128983875643488,0.3954999166361011,0.8088903058341483,0.7243770279043783
Bwd Init Win Bytes,0.3113207111914676,0.0375808373015174,0.295432341456,0.2918529300777955,0.1288565985428344,0.5044273733188649
Active Mean,0.0569261278531665,0.0568598148879754,0.0123897205113037,0.0385909563790587,0.0378476408248066,0.0236766065133943
Active Std,0.0155950022222222,0.0155950022222222,0.0155950022222222,0.0100846594372135,0.0144632783635317,0.0155950022222222
Active Max,0.0569261285370555,0.056860883512829,0.0133810742342965,0.0385681385457937,0.0380681135557048,0.0240420686374996
Active Min,0.0569255740399444,0.0568596403051428,0.0123386495380327,0.0405967652826708,0.0381735238370668,0.0227943663244087
Idle Min,0.057606517264037,0.0575443337916886,0.0152775817661547,0.0348967196195143,0.0417183256694821,0.026128046871574
Idle Mean,0.0576066348715925,0.0575443337916886,0.0154343240327053,0.033326026935426,0.0422596450581756,0.0261388432867381
ICMP Code,5.949999999999689e-07,5.949999999999689e-07,5.949999999999689e-07,5.949999999999689e-07,2.1968044130222798e-07,5.949999999999689e-07
Idle Max,0.0576072966211481,0.0575443337916886,0.0158626108336783,0.0328766876062548,0.0411034171283697,0.0261391690771476
ICMP Type,5.949999999999689e-07,5.949999999999689e-07,5.949999999999689e-07,5.949999999999689e-07,2.1756851520605958e-07,5.949999999999689e-07
Idle Std,0.01635975,0.01635975,0.01635975,0.0101470756417644,0.0105255273656107,0.01635975
Total TCP Flow Time,0.0234332471024519,0.0287166227767746,0.0310284594360572,0.0002956476979662,0.0240034547176636,0.3683366631112771
