feature,pooled_c2st,pooled_c2st_calibrated,benign_c2st,attack_c2st,benign_c2st_calibrated,attack_c2st_calibrated,dominant_slice,dominant_c2st,c2st_Botnet,c2st_BruteForce,c2st_DDoS,c2st_DoS,c2st_Infiltration,c2st_WebAttack,c2st_calibrated_Botnet,c2st_calibrated_BruteForce,c2st_calibrated_DDoS,c2st_calibrated_DoS,c2st_calibrated_Infiltration,c2st_calibrated_WebAttack
Fwd URG Flags,0.5,0.0,0.5,0.5,0.0,0.0,Infiltration,0.502994375,0.5,0.5,0.5,0.5,0.502994375,0.5,0.0,0.0,0.0,0.0,-0.0006146060903508572,0.0
Bwd IAT Max,0.7768118749999999,0.5428321152603912,0.82295,0.8804137500000001,0.6335893861715663,0.7483277329331912,BruteForce,1.0,0.9925219364772937,1.0,0.8156593750000001,0.917224375,0.70035875,0.9205749492779567,0.9842437029500894,1.0,0.6175229879169758,0.8294903955270956,0.38786965399513224,0.8201023637607144
Bwd IAT Min,0.8502168749999999,0.6857296785016558,0.8739849999999999,0.9507637499999999,0.7379956613544277,0.8959491140872257,BruteForce,0.989528125,0.9894228488692776,0.989528125,0.987621875,0.944830625,0.6929000000000001,0.929095059076262,0.9773103633223774,0.9778445775375058,0.9741296725952033,0.8865867401570693,0.36765423632499267,0.8426141408386252
Bwd URG Flags,0.5,0.0,0.5,0.5,0.0,0.0,benign,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Bwd PSH Flags,0.6214575000000001,0.21788943007929892,0.617265,0.7355056249999999,0.192887286004116,0.4485283105154764,Botnet,0.9524315131457989,0.9524315131457989,0.79125,0.524958125,0.516296875,0.52673375,0.484875581811672,0.8982810519027912,0.567535230351846,0.0344113759829556,0.013992563456257526,0.03584993330629518,-0.220846727423318
Bwd RST Flags,0.5250462499999999,0.02538732346352671,0.566356875,0.685251875,0.10661698896513946,0.3579218147153055,Infiltration,0.875754375,0.5,0.779,0.5,0.505,0.875754375,0.5,0.0,0.5349371325633177,0.0,0.005268550962611744,0.7428094765280503,0.0
Fwd RST Flags,0.56964125,0.11634780053412658,0.5958406250000001,0.7312675000000001,0.16463763379936383,0.44182057085782633,DoS,0.9668300000000001,0.5,0.5,0.88325,0.9668300000000001,0.50075,0.5,0.0,0.0,0.7575536276504801,0.9293311814097402,-0.00019871079638972934,-0.013774988470715592
Bwd Header Length,0.7834118749999999,0.5460388108420555,0.786176875,0.9392643749999999,0.5524045048238979,0.8682677261743582,BruteForce,0.9990937500000001,0.9460075381503954,0.9990937500000001,0.790695625,0.92430375,0.89804,0.9820906432748536,0.8887396849098,0.9980912042000206,0.5527163201470987,0.842331648031268,0.7848540967198093,0.9595982124560479
Fwd Header Length,0.7799862500000001,0.5314918523348232,0.773625625,0.981855625,0.5335760336670837,0.9616569813919633,DDoS,0.999983125,0.5748311040632469,0.9479150000000001,0.999983125,0.9608306249999998,0.8908737499999999,0.9803675856307436,0.13112508602174805,0.8912886594798224,0.9999649756305632,0.9183666932269724,0.7788090837377658,0.9556559239344412
Fwd Packets/s,0.8058681249999999,0.6039591265626943,0.8239812500000001,0.87384625,0.6401619346639943,0.7315636328553696,BruteForce,1.0,0.9797884376723662,1.0,0.964495625,0.7922212500000001,0.973774375,0.953047798066595,0.9566745464302555,1.0,0.925179633103622,0.5744735408695454,0.9460932121053912,0.8703033497105577
Bwd Packets/s,0.8222368750000001,0.6260377251222005,0.8173375,0.8718600000000001,0.6202054888254501,0.7334083994946866,BruteForce,1.0,0.9739767075749219,1.0,0.9532774999999999,0.7585643750000001,0.97984875,0.9645622986036522,0.9458430730154724,1.0,0.9044214768226214,0.5077749938510372,0.9581021115421423,0.9045402150178854
FIN Flag Count,0.51435125,-0.018940928923361296,0.5809737500000001,0.8654093749999999,0.12007995265514297,0.7225508424454349,attack,0.8654093749999999,0.5,0.5030081249999998,0.754010625,0.8372131250000001,0.52775125,0.5,0.0,-0.0005214200501042074,0.4856160249258812,0.6621875865886804,0.03945431470158648,-0.013179728776058924
Packet Length Min,0.5687506250000001,0.09438576754065599,0.624244375,0.5,0.2032428838142125,-0.0016912348406629477,benign,0.624244375,0.5,0.5,0.5005,0.5,0.5049931250000002,0.5,0.0,0.0,-0.002426710585417034,0.0,0.004959059079197702,0.0
Packet Length Mean,0.716889375,0.4010737163064774,0.67445375,0.9922343750000001,0.30289128973178164,0.9837998818254671,Botnet,1.0,1.0,0.997491875,1.0,0.9972918749999999,0.5322543750000001,0.9628634085213033,1.0,0.9946965534237361,1.0,0.9943232308360702,0.05232137291007614,0.9167690813050087
Packet Length Std,0.7679162500000001,0.5187979085243495,0.7222700000000001,0.9915787500000001,0.41971177733060944,0.9821534314627134,Botnet,1.0,1.0,0.999,1.0,0.997470625,0.5268875000000001,0.9559887814775033,1.0,0.9979099349734779,1.0,0.9946572099609041,0.034462697025522314,0.8975173909380078
RST Flag Count,0.5942537499999999,0.15883187651812455,0.6443049999999999,0.909440625,0.26715087337056515,0.8103071476920007,DoS,0.9768543749999999,0.5,0.7835000000000001,0.899,0.9768543749999999,0.8662749999999999,0.5,0.0,0.542564948909296,0.7926570493178832,0.95110376149226,0.7190513344680534,-0.026470145886599298
SYN Flag Count,0.5886931249999999,0.12125868472467691,0.60123125,0.6830506250000001,0.17188244751897808,0.3447792611013028,Infiltration,0.850164375,0.5,0.50025,0.502,0.5437625,0.850164375,0.5,0.0,0.0004999999999999449,0.0022460932691624074,0.07194877791549487,0.6882805286106137,0.0
Packet Length Max,0.784796875,0.5483484623316922,0.711396875,0.99512625,0.3971234976881978,0.9899661611270758,Botnet,1.0,1.0,0.7845000000000001,1.0,0.9997475,0.524735,0.791530612244898,1.0,0.5516977937608778,1.0,0.9994748046473524,0.03554921879013207,0.5156547501814477
URG Flag Count,0.5,0.0,0.5,0.5005,0.0,0.0009999999999998899,Infiltration,0.502,0.5,0.5,0.5,0.5,0.502,0.5,0.0,0.0,0.0,0.0,0.0006795056594678063,0.0
Packet Length Variance,0.785004375,0.549233171029985,0.7196843749999998,0.9908800000000001,0.4262919374309308,0.9813254644235592,Botnet,0.99975,0.99975,0.9995,0.99975,0.9969331250000002,0.5257818750000001,0.9559887814775033,0.9994732828895515,0.9989744308426844,0.9994832177197664,0.9935275957618283,0.03911396034063775,0.9033228881709986
