feature,benign_shift,attack_shift,max_attack_shift,mean_attack_shift,shift_by_family,dominant_driver,benign_c2st,attack_c2st,pooled_c2st,benign_c2st_calibrated,attack_c2st_calibrated,pooled_c2st_calibrated,benign_c2st_null,attack_c2st_null,pooled_c2st_null
Packet Length Std,0.41971177733060944,0.9821534314627134,1.0,0.820757872149652,"{'Botnet': 1.0, 'BruteForce': 0.9979099349734779, 'DDoS': 1.0, 'DoS': 0.9946572099609041, 'Infiltration': 0.034462697025522314, 'WebAttack': 0.8975173909380078}",attack,0.7222700000000001,0.9915787500000001,0.7679162500000001,0.41971177733060944,0.9821534314627134,0.5187979085243495,0.5213930092835403,0.5281305769002312,0.5177000388998856
RST Flag Count,0.26715087337056515,0.8103071476920007,0.95110376149226,0.4964844913834822,"{'Botnet': 0.0, 'BruteForce': 0.542564948909296, 'DDoS': 0.7926570493178832, 'DoS': 0.95110376149226, 'Infiltration': 0.7190513344680534, 'WebAttack': -0.026470145886599298}",attack,0.6443049999999999,0.909440625,0.5942537499999999,0.26715087337056515,0.8103071476920007,0.15883187651812455,0.5146408898159781,0.5225999614737137,0.517639531654527
SYN Flag Count,0.17188244751897808,0.3447792611013028,0.6882805286106137,0.12716256663254516,"{'Botnet': 0.0, 'BruteForce': 0.0004999999999999449, 'DDoS': 0.0022460932691624074, 'DoS': 0.07194877791549487, 'Infiltration': 0.6882805286106137, 'WebAttack': 0.0}",attack,0.60123125,0.6830506250000001,0.5886931249999999,0.17188244751897808,0.3447792611013028,0.12125868472467691,0.5184635939604255,0.5162708440322995,0.5319363413894664
Packet Length Max,0.3971234976881978,0.9899661611270758,1.0,0.683729427896635,"{'Botnet': 1.0, 'BruteForce': 0.5516977937608778, 'DDoS': 1.0, 'DoS': 0.9994748046473524, 'Infiltration': 0.03554921879013207, 'WebAttack': 0.5156547501814477}",attack,0.711396875,0.99512625,0.784796875,0.3971234976881978,0.9899661611270758,0.5483484623316922,0.5212898099472832,0.5142686601085897,0.5235195564460916
URG Flag Count,0.0,0.0009999999999998899,0.0006795056594678063,0.00011325094324463438,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.0, 'DoS': 0.0, 'Infiltration': 0.0006795056594678063, 'WebAttack': 0.0}",attack,0.5,0.5005,,0.0,0.0009999999999998899,,0.5,0.5,
Packet Length Variance,0.4262919374309308,0.9813254644235592,0.9994832177197664,0.8223158959542444,"{'Botnet': 0.9994732828895515, 'BruteForce': 0.9989744308426844, 'DDoS': 0.9994832177197664, 'DoS': 0.9935275957618283, 'Infiltration': 0.03911396034063775, 'WebAttack': 0.9033228881709986}",attack,0.7196843749999998,0.9908800000000001,0.785004375,0.4262919374309308,0.9813254644235592,0.549233171029985,0.5113967481217806,0.511634441313476,0.5230447069691068
PSH Flag Count,0.26153102995605393,0.4302209731109266,0.9006894279651533,0.22953303178245313,"{'Botnet': 0.9006894279651533, 'BruteForce': 0.5774202001444741, 'DDoS': 0.030074815169412357, 'DoS': 0.008898881484218375, 'Infiltration': 0.0367792107334842, 'WebAttack': -0.17666434480202334}",attack,0.6421043750000001,0.7320500000000001,0.6319125000000001,0.26153102995605393,0.4302209731109266,0.22343849067319418,0.5153545517576701,0.529729970120214,0.526003419459855
CWR Flag Count,0.2700273482850486,0.40709339417112217,1.0,0.5094399158802607,"{'Botnet': 1.0, 'BruteForce': 0.0, 'DDoS': 0.9969039676221105, 'DoS': 0.0, 'Infiltration': 0.059735527659453676, 'WebAttack': 1.0}",attack,0.64425,0.7120000000000001,0.6475,0.2700273482850486,0.40709339417112217,0.2698191691205708,0.5126529751981481,0.5142573937131656,0.5172428731449313
ECE Flag Count,0.24818714960530544,0.4079724886361611,1.0,0.508780300585668,"{'Botnet': 1.0, 'BruteForce': 0.0, 'DDoS': 0.9978817405488787, 'DoS': 0.0, 'Infiltration': 0.05480006296512959, 'WebAttack': 1.0}",attack,0.636573125,0.71175,0.6405,0.24818714960530544,0.4079724886361611,0.2533652013441946,0.5165992775872288,0.5131138427402373,0.5185062353814457
Down/Up Ratio,0.2076727500518635,0.5551810631700762,0.996970833071892,0.8108921695022899,"{'Botnet': 0.996970833071892, 'BruteForce': 0.9951109035959506, 'DDoS': 0.9861786774750574, 'DoS': 0.7256416126596011, 'Infiltration': 0.42023230260284816, 'WebAttack': 0.7412186876083899}",attack,0.6158474999999999,0.786416875,0.6191937500000001,0.2076727500518635,0.5551810631700762,0.2070565567950286,0.515159298099181,0.5198425531922366,0.51975610207352
ACK Flag Count,0.27769313783223243,0.9506563083823872,0.998940750368418,0.9004738385568128,"{'Botnet': 0.9955821766468583, 'BruteForce': 0.998940750368418, 'DDoS': 0.9977670769619379, 'DoS': 0.9119059550142871, 'Infiltration': 0.7827824464181266, 'WebAttack': 0.7158646259312497}",attack,0.65430875,0.9764993750000001,0.6973493749999999,0.27769313783223243,0.9506563083823872,0.36110543887500757,0.5214066650806544,0.5237359786106551,0.5262901839904849
Average Packet Size,0.30817746681498276,0.9832731669076534,1.0,0.8251764991404816,"{'Botnet': 1.0, 'BruteForce': 0.9940874730946716, 'DDoS': 1.0, 'DoS': 0.9933131415967692, 'Infiltration': 0.05125937551675645, 'WebAttack': 0.9123990046346923}",attack,0.672265,0.9920562500000001,,0.30817746681498276,0.9832731669076534,,0.526273019048438,0.5250894203258004,
Fwd Segment Size Avg,0.32556078910335545,0.9011929598697803,0.9994766013770172,0.7926199448682588,"{'Botnet': 0.9994733798129508, 'BruteForce': 0.9891706431724121, 'DDoS': 0.9994766013770172, 'DoS': 0.8129167020728069, 'Infiltration': 0.03043011303260194, 'WebAttack': 0.9242522297417644}",attack,0.6761375,0.9517625000000001,,0.32556078910335545,0.9011929598697803,,0.5198047581346351,0.5118009816261391,
Fwd Bytes/Bulk Avg,0.03021530180895809,0.015067871441725129,0.042792533213725746,0.009452692389647466,"{'Botnet': 0.042792533213725746, 'BruteForce': -0.0004835003375523647, 'DDoS': 0.0, 'DoS': 0.017272338832085395, 'Infiltration': -0.002865217370373988, 'WebAttack': 0.0}",benign,0.521320625,0.5099756249999998,0.5187349999999998,0.03021530180895809,0.015067871441725129,0.026896169721670745,0.5064065499353724,0.502479043183119,0.505433043190933
Bwd Segment Size Avg,0.3153098154387294,0.9784777577122821,1.0,0.806096238781722,"{'Botnet': 0.9906606635370132, 'BruteForce': 0.9994759378596348, 'DDoS': 1.0, 'DoS': 0.9993968085207504, 'Infiltration': 0.02744731331462381, 'WebAttack': 0.8195967094583093}",attack,0.673881875,0.989896875,,0.3153098154387294,0.9784777577122821,,0.5236997223657194,0.5305728434362288,
Fwd Packet/Bulk Avg,0.03349390511110982,0.004987887498269561,0.038585321708306974,0.01019667165133609,"{'Botnet': 0.038585321708306974, 'BruteForce': 0.0003036637038931032, 'DDoS': 0.0003516130456817531, 'DoS': 0.018235037446114395, 'Infiltration': 0.0037043940040203207, 'WebAttack': 0.0}",benign,0.5222200000000001,0.50425125,0.5212393750000001,0.03349390511110982,0.004987887498269561,0.028789905306665486,0.5056627138446286,0.5017661154359688,0.5070473138449292
Subflow Fwd Packets,-0.006324167736018516,0.042566971812080384,0.3771975674887945,0.0627366792813553,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': -0.000777491800662705, 'DoS': 0.0, 'Infiltration': 0.3771975674887945, 'WebAttack': 0.0}",attack,0.5032500000000001,0.53025,0.5087499999999999,-0.006324167736018516,0.042566971812080384,-0.0017289645998012663,0.5063717876143579,0.5093651606221797,0.5095978878915033
Bwd Bytes/Bulk Avg,0.015995522547205765,0.24732280097699266,0.6394594166757329,0.13647869992378284,"{'Botnet': 0.0, 'BruteForce': 0.0004876295968370974, 'DDoS': 0.1891063993883222, 'DoS': 0.6394594166757329, 'Infiltration': 0.0, 'WebAttack': -0.010181246118195255}",attack,0.51374125,0.631,0.550739375,0.015995522547205765,0.24732280097699266,0.08056369349416041,0.5058368522278118,0.5097499957764489,0.5113738474094653
